Year,BazeValue,MediumValue,HighValue,SurveyFee,TitleCost, BuildingPlan,LegalFee,ValuationFee, MaintainanceCost 
1978,0.25,0.5,1,0.5,3,100,10,1,2
1979,0.25,0.5,1,0.5,3,100,10,1,2
1980,0.25,0.5,1,0.5,3,100,10,1,2
1981,0.25,0.5,1,0.5,3,100,10,1,2
1982,0.25,0.5,1,0.5,3,100,10,1,2
1983,0.8,1.5,3,8,35,1500,10,1,3
1984,0.8,1.5,3,8,35,1500,10,1,3
1985,0.8,1.5,3,8,35,1500,10,1,3
1986,0.8,1.5,3,8,35,1500,10,1,3
1987,0.8,1.5,3,8,35,1500,10,1,3
1988,2.5,5,10,15,500,2500,10,1,6
1989,2.5,5,10,15,500,2500,10,1,6
1990,2.5,5,10,15,500,2500,10,1,6
1991,2.5,5,10,15,500,2500,10,1,6
1992,2.5,5,10,15,500,2500,10,1,6
1993,35,75,150,23,960,4500,10,1,9
1994,35,75,150,23,960,4500,10,1,9
1995,35,75,150,23,960,4500,10,1,9
1996,35,75,150,23,960,4500,10,1,9
1997,35,75,150,23,960,4500,10,1,9
1998,165,325,750,35,8500,7500,10,1,12
1999,165,325,750,35,8500,7500,10,1,12
2000,165,325,750,35,8500,7500,10,1,12
2001,165,325,750,35,8500,7500,10,1,12
2002,165,325,750,35,8500,7500,10,1,12
2003,300,750,1300,40,15000,15000,10,1,15
2004,300,750,1300,40,15000,15000,10,1,15
2005,300,750,1300,40,15000,15000,10,1,15
2006,300,750,1300,40,15000,15000,10,1,15
2007,300,750,1300,40,15000,15000,10,1,15
2008,450,1000,2200,50,20000,30000,10,1,18
2009,450,1000,2200,50,20000,30000,10,1,18
2010,450,1000,2200,50,20000,30000,10,1,18
2011,450,1000,2200,50,20000,30000,10,1,18
2012,450,1000,2200,50,20000,30000,10,1,18
2013,800,1500,3000,60,25000,40000,10,1,21
